architectures,dataset_sizes,loki_computation_time,nn_training_time,nn_evaluation_time,proj_evaluation_time,rmse_nn_overall,rmse_proj_nn_overall,specific_outputs,mean_rmse_nn_specific,mean_rmse_proj_nn_specific
"[1, 1]",1000,23390.0,172.2212359905243,0.0007827281951904297,2.4665489196777344,0.2606526690485973,0.23014049102281517,"['O2(X)', 'O2(+,X)', 'ne']",0.24471201448696026,0.08842831708344634
"[2, 2]",1000,23390.0,207.66138434410095,0.00019478797912597656,2.5174667835235596,0.223720893290559,0.2000182317451231,"['O2(X)', 'O2(+,X)', 'ne']",0.22502364342852774,0.08454430379404809
"[4, 4]",1000,23390.0,187.6042947769165,0.0001678466796875,2.526369094848633,0.1620794787604088,0.154478661362927,"['O2(X)', 'O2(+,X)', 'ne']",0.14681990082451826,0.08237961788149249
"[6, 6]",1000,23390.0,148.64823198318481,0.0002830028533935547,2.3582282066345215,0.07676419470312597,0.07234546320668613,"['O2(X)', 'O2(+,X)', 'ne']",0.07241703300183204,0.035244292660343846
"[8, 8]",1000,23390.0,145.63056898117065,0.0001709461212158203,2.413008213043213,0.06753572963480876,0.06500960058374505,"['O2(X)', 'O2(+,X)', 'ne']",0.05060396377248224,0.026971746327868903
"[12, 12]",1000,23390.0,101.89727520942688,0.00027680397033691406,2.372828960418701,0.06038359717565098,0.05819069933400395,"['O2(X)', 'O2(+,X)', 'ne']",0.0497499826332104,0.02873124357982665
"[18, 18]",1000,23390.0,94.64925074577332,0.00019288063049316406,2.4561779499053955,0.05104807605293379,0.049796762309169865,"['O2(X)', 'O2(+,X)', 'ne']",0.036310190134076756,0.02278489612883272
"[26, 26]",1000,23390.0,80.42158007621765,0.0005192756652832031,2.5101981163024902,0.03581814101563725,0.034240981306207674,"['O2(X)', 'O2(+,X)', 'ne']",0.031854230819716535,0.01852072495312046
"[37, 37]",1000,23390.0,60.213281869888306,0.0005049705505371094,2.403956174850464,0.03637829312984188,0.035511819762437814,"['O2(X)', 'O2(+,X)', 'ne']",0.025580668818020486,0.017249169256790906
"[54, 54]",1000,23390.0,59.09392595291138,0.0005958080291748047,2.447321891784668,0.03157097835437543,0.030868005311884557,"['O2(X)', 'O2(+,X)', 'ne']",0.021922857024933125,0.014334684678162374
"[78, 78]",1000,23390.0,34.288711071014404,0.0005331039428710938,2.444277048110962,0.03194032416215142,0.031208548579939332,"['O2(X)', 'O2(+,X)', 'ne']",0.022536661163062344,0.015361711186379091
"[112, 112]",1000,23390.0,36.64475393295288,0.0005853176116943359,2.4565041065216064,0.0293820467396673,0.028979964100696066,"['O2(X)', 'O2(+,X)', 'ne']",0.017827284674880307,0.01392545947226132
"[162, 162]",1000,23390.0,41.182653188705444,0.000946044921875,2.3991241455078125,0.024688950814492388,0.024351078201802576,"['O2(X)', 'O2(+,X)', 'ne']",0.015542995636023883,0.011890798789102042
"[233, 233]",1000,23390.0,39.6623170375824,0.0011980533599853516,2.3565778732299805,0.02228804537714354,0.02219337176747618,"['O2(X)', 'O2(+,X)', 'ne']",0.012104695640864882,0.011046928635125656
"[335, 335]",1000,23390.0,26.34326982498169,0.0018157958984375,2.4074480533599854,0.024843841888808706,0.024647019882403778,"['O2(X)', 'O2(+,X)', 'ne']",0.014365474697347886,0.011988871538484902
"[483, 483]",1000,23390.0,38.69542670249939,0.0028247833251953125,2.375814914703369,0.022141300796579978,0.02204592780787557,"['O2(X)', 'O2(+,X)', 'ne']",0.012116277556268594,0.01066821887987808
"[695, 695]",1000,23390.0,67.6938648223877,0.004833221435546875,2.4811830520629883,0.021185390505000172,0.021177221412670446,"['O2(X)', 'O2(+,X)', 'ne']",0.010233535468286956,0.009806472397572997
"[1000, 1000]",1000,23390.0,66.99539685249329,0.008285999298095703,2.5761427879333496,0.021698411583610203,0.02172802494137366,"['O2(X)', 'O2(+,X)', 'ne']",0.00971317475605244,0.009515471792444137
